City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,Espanola,35.9911,-106.0806,85.01,25,4,5.01,US,2022-06-28 23:06:04
108,Kapaa,22.0752,-159.319,84.52,69,20,12.66,US,2022-06-28 23:06:04
109,Champerico,14.3,-91.9167,86.54,74,11,8.03,GT,2022-06-28 23:06:05
110,Barrow,71.2906,-156.7887,46.42,93,100,4.61,US,2022-06-28 23:06:06
111,Abu Zabad,12.35,29.25,73.78,76,99,5.32,SD,2022-06-28 23:06:06
112,Guerrero Negro,27.9769,-114.0611,83.32,54,5,15.48,MX,2022-06-28 23:06:06
113,Sotnikovo,51.8845,107.4791,69.89,64,20,4.47,RU,2022-06-28 23:06:07
114,Laguna,38.421,-121.4238,104.14,18,0,9.22,US,2022-06-28 23:06:08
115,Pereira Barreto,-20.6383,-51.1092,71.44,46,0,5.93,BR,2022-06-28 23:04:28
116,Neuquen,-38.9516,-68.0591,62.49,31,86,24.16,AR,2022-06-28 23:05:18
117,Byron Bay,-28.65,153.6167,55.94,71,99,5.61,AU,2022-06-28 23:03:59
118,Vanimo,-2.6741,141.3028,78.91,82,88,5.12,PG,2022-06-28 23:01:20
119,Tarauaca,-8.1614,-70.7656,77.63,65,68,1.61,BR,2022-06-28 23:06:09
120,Wuzhou,23.4833,111.3167,77.11,94,99,1.52,CN,2022-06-28 23:06:10
121,Bredasdorp,-34.5322,20.0403,57.83,44,0,5.95,ZA,2022-06-28 23:06:10
122,Cabo San Lucas,22.8909,-109.9124,91.71,48,0,11.5,MX,2022-06-28 23:02:28
123,San Quintin,30.4833,-115.95,77.63,53,8,9.28,MX,2022-06-28 23:06:11
124,Gejiu,23.306,103.1635,58.46,97,100,0.6,CN,2022-06-28 23:06:12
125,Nova Aurora,-22.8667,-52.5667,67.15,61,1,1.86,BR,2022-06-28 23:06:12
126,San Angelo,31.4638,-100.437,93.42,41,20,15.01,US,2022-06-28 23:06:13
127,Fairbanks,64.8378,-147.7164,75.6,43,100,10.36,US,2022-06-28 23:06:13
128,Sanary-Sur-Mer,43.1178,5.8001,76.53,81,0,3.89,FR,2022-06-28 23:06:14
129,Constitucion,-35.3333,-72.4167,52.84,78,100,2.75,CL,2022-06-28 23:06:15
130,Hasaki,35.7333,140.8333,84.6,78,90,10.47,JP,2022-06-28 23:06:15
131,Garmsar,35.2182,52.3409,93.29,9,15,10.02,IR,2022-06-28 23:06:15
132,Apollonia,36.9716,24.7231,72.99,73,0,17.58,GR,2022-06-28 23:06:16
133,Tautira,-17.7333,-149.15,78.57,78,9,18.9,PF,2022-06-28 23:06:17
134,Port-Gentil,-0.7193,8.7815,73.36,88,75,9.22,GA,2022-06-28 23:06:17
135,Mitsamiouli,-11.3847,43.2844,75.6,70,7,9.51,KM,2022-06-28 23:06:18
136,Taywarah,33.35,64.4167,61.72,21,0,5.12,AF,2022-06-28 23:06:18
137,Tigil,57.8,158.6667,69.01,47,22,3.85,RU,2022-06-28 23:06:19
138,Peniche,39.3558,-9.3811,64.29,88,1,16.64,PT,2022-06-28 23:06:19
139,Lubao,14.9167,120.55,77.07,93,100,2.62,PH,2022-06-28 23:06:19
140,Suntar,62.1444,117.6319,55.89,85,89,5.08,RU,2022-06-28 23:06:20
141,Fukagawa,43.7081,142.0392,64.15,98,100,1.97,JP,2022-06-28 23:06:21
142,Demirci,39.0461,28.6589,57.33,81,1,6.24,TR,2022-06-28 23:06:21
143,Belebey,54.1167,54.1167,40.01,95,79,6.82,RU,2022-06-28 23:06:22
144,Antofagasta,-23.65,-70.4,67.21,62,2,8.52,CL,2022-06-28 23:06:03
145,Zyryanovsk,49.7386,84.2719,51.55,85,2,1.28,KZ,2022-06-28 23:06:24
146,Mar Del Plata,-38.0023,-57.5575,53.1,60,0,9.22,AR,2022-06-28 23:06:24
147,Saint-Philippe,-21.3585,55.7679,63.99,77,89,13.96,RE,2022-06-28 23:06:24
148,Teguise,29.0605,-13.564,66.42,68,75,19.57,ES,2022-06-28 23:04:25
149,Mugur-Aksy,50.35,90.5,51.42,81,36,1.12,RU,2022-06-28 23:06:25
150,Tombouctou,20.0,-3.0,100.63,18,36,8.86,ML,2022-06-28 23:06:26
151,Dodge City,37.7528,-100.0171,88.05,36,0,10.36,US,2022-06-28 23:02:17
152,Codrington,-38.2667,141.9667,44.8,65,44,16.53,AU,2022-06-28 23:06:27
153,Provideniya,64.3833,-173.3,42.91,93,100,8.95,RU,2022-06-28 23:06:27
154,Daru,-9.0763,143.2092,79.32,88,69,13.65,PG,2022-06-28 23:06:27
155,Saldanha,-33.0117,17.9442,63.23,48,0,12.93,ZA,2022-06-28 23:06:28
156,Ambilobe,-13.2,49.05,64.96,63,56,5.66,MG,2022-06-28 23:06:28
157,Aden,12.7794,45.0367,86.49,78,100,13.22,YE,2022-06-28 23:06:29
158,Innisfail,-17.5333,146.0333,68.09,90,100,6.64,AU,2022-06-28 23:06:29
159,Nizwa,22.9333,57.5333,85.26,60,8,0.85,OM,2022-06-28 23:06:30
160,Balkanabat,39.5108,54.3671,75.58,73,0,5.82,TM,2022-06-28 23:06:30
161,Pisco,-13.7,-76.2167,63.01,82,100,8.05,PE,2022-06-28 23:03:50
162,Todos Santos,23.45,-110.2167,79.45,81,85,6.58,MX,2022-06-28 23:06:31
163,Dingle,10.9995,122.6711,76.71,92,100,8.05,PH,2022-06-28 23:06:31
164,Cururupu,-1.8283,-44.8683,74.44,92,26,2.82,BR,2022-06-28 23:06:32
165,Baie-Comeau,49.2168,-68.1489,61.3,61,4,8.32,CA,2022-06-28 23:06:32
166,Port Hedland,-20.3167,118.5667,62.65,42,0,9.22,AU,2022-06-28 23:06:33
167,Campbell River,50.0163,-125.2446,68.59,60,56,14.54,CA,2022-06-28 23:06:33
168,Road Town,18.4167,-64.6167,82.49,78,40,12.66,VG,2022-06-28 23:06:34
169,Kalemie,-5.9475,29.1947,70.54,69,52,8.48,CD,2022-06-28 23:06:34
170,Yar-Sale,66.8333,70.8333,41.92,67,9,21.23,RU,2022-06-28 23:06:34
171,Camapua,-19.5314,-54.0439,69.46,48,0,5.21,BR,2022-06-28 23:06:35
172,Kahului,20.8947,-156.47,83.97,78,100,15.01,US,2022-06-28 23:01:56
173,Los Llanos De Aridane,28.6585,-17.9182,65.95,74,75,19.57,ES,2022-06-28 23:06:35
174,Tiksi,71.6872,128.8694,47.34,53,21,20.29,RU,2022-06-28 23:03:56
175,Adolfo Lopez Mateos,28.4667,-107.3,72.77,39,81,13.15,MX,2022-06-28 23:06:36
176,Kununurra,-15.7667,128.7333,62.58,63,76,11.5,AU,2022-06-28 23:06:37
177,Ilulissat,69.2167,-51.1,59.02,33,9,21.85,GL,2022-06-28 23:06:37
178,Yangjiang,21.85,111.9667,80.11,86,56,1.92,CN,2022-06-28 23:06:37
179,Nuuk,64.1835,-51.7216,40.05,98,100,5.86,GL,2022-06-28 23:06:38
180,Dmitriyevka,54.75,55.3333,45.95,94,61,9.8,RU,2022-06-28 23:06:38
181,Sangar,63.9242,127.4739,56.32,49,3,8.77,RU,2022-06-28 23:06:39
182,Iowa City,41.6611,-91.5302,83.75,36,0,13.8,US,2022-06-28 23:06:39
183,Hami,42.8,93.45,82.2,28,59,13.11,CN,2022-06-28 23:06:40
184,Bambanglipuro,-7.95,110.2833,75.7,72,78,4.9,ID,2022-06-28 23:06:40
185,San Isidro,-12.1167,-77.05,64.02,78,100,9.22,PE,2022-06-28 23:06:41
186,Kurumkan,54.3,110.3,77.14,48,57,1.52,RU,2022-06-28 23:06:41
187,Ponta Do Sol,32.6667,-17.1,68.0,52,7,6.38,PT,2022-06-28 23:05:04
188,Hauterive,46.0901,3.4459,60.76,85,0,2.64,FR,2022-06-28 23:06:42
189,Vila Franca Do Campo,37.7167,-25.4333,71.2,94,91,4.88,PT,2022-06-28 23:07:42
190,Zhigansk,66.7697,123.3711,47.14,53,2,12.86,RU,2022-06-28 23:07:43
191,Shubarshi,48.5872,57.1869,59.7,42,80,13.35,KZ,2022-06-28 23:07:43
192,Mount Isa,-20.7333,139.5,58.77,38,100,6.91,AU,2022-06-28 23:07:43
193,Nanakuli,21.3906,-158.1547,85.95,47,75,14.97,US,2022-06-28 23:07:44
194,Xicotencatl,23.0167,-98.8833,95.47,41,82,13.02,MX,2022-06-28 23:07:44
195,Kungurtug,50.5994,97.5228,57.58,95,85,1.34,RU,2022-06-28 23:07:45
196,Rudbar,30.15,62.6,92.79,12,3,8.72,AF,2022-06-28 23:07:45
197,San Patricio,28.017,-97.5169,87.66,46,100,14.81,US,2022-06-28 23:07:46
198,Sitka,57.0531,-135.33,66.09,63,20,14.97,US,2022-06-28 23:07:46
199,Roma,43.2128,-75.4557,72.73,56,0,8.05,US,2022-06-28 23:06:29
200,Berlevag,70.8578,29.0864,69.6,77,37,0.0,NO,2022-06-28 23:07:47
201,Qiyang,26.5911,111.8474,76.73,95,85,2.3,CN,2022-06-28 23:07:47
202,Nizhniy Kuranakh,58.8353,125.4869,72.55,61,6,2.35,RU,2022-06-28 23:07:48
203,Longyearbyen,78.2186,15.6401,46.24,81,100,3.44,SJ,2022-06-28 23:07:48
204,Manali,13.1667,80.2667,84.29,88,100,9.4,IN,2022-06-28 23:07:48
205,Chake Chake,-5.2459,39.7666,72.5,86,43,15.35,TZ,2022-06-28 23:07:49
206,Ternate,0.8,127.4,80.49,79,90,4.56,ID,2022-06-28 23:07:49
207,Chifeng,42.2683,118.9636,69.04,75,100,3.53,CN,2022-06-28 23:07:50
208,Lata,40.1629,-8.3327,54.23,98,4,2.84,PT,2022-06-28 23:07:50
209,Port Moresby,-9.4431,147.1797,79.77,72,99,1.59,PG,2022-06-28 23:07:50
210,Totolapa,18.5167,-96.1833,83.39,76,69,8.7,MX,2022-06-28 23:07:51
211,Cherskiy,68.75,161.3,43.47,84,100,5.77,RU,2022-06-28 23:07:51
212,Winsum,53.33,6.5208,64.38,81,2,10.31,NL,2022-06-28 23:07:52
213,Las Cruces,32.3123,-106.7783,91.51,33,0,7.0,US,2022-06-28 23:07:52
214,Kisangani,0.5167,25.2,69.44,80,100,1.34,CD,2022-06-28 23:07:53
215,Muros,42.7762,-9.0603,61.09,92,98,5.28,ES,2022-06-28 23:07:54
216,Vestmannaeyjar,63.4427,-20.2734,51.69,88,100,5.01,IS,2022-06-28 23:07:54
217,Mudgee,-32.5943,149.5871,41.05,100,40,0.0,AU,2022-06-28 23:07:55
218,Tila,17.4,-92.4833,79.25,85,35,2.37,MX,2022-06-28 23:07:55
219,Scarborough,54.2797,-0.4044,60.91,70,100,1.01,GB,2022-06-28 23:03:08
220,Kaura Namoda,12.5898,6.5779,78.64,55,71,18.7,NG,2022-06-28 23:07:56
221,Hithadhoo,-0.6,73.0833,82.22,73,98,4.94,MV,2022-06-28 23:07:56
222,Taltal,-25.4,-70.4833,61.36,67,0,2.3,CL,2022-06-28 23:07:56
223,Adra,36.7496,-3.0206,75.38,83,10,2.59,ES,2022-06-28 23:07:57
224,Aksu,41.1231,80.2644,77.9,35,94,1.99,CN,2022-06-28 23:07:57
225,Port Augusta,-32.5,137.7667,49.86,40,100,6.33,AU,2022-06-28 23:07:58
226,Hobyo,5.3505,48.5268,76.77,80,75,24.99,SO,2022-06-28 23:07:58
227,Disna,55.568,28.1971,63.79,96,100,5.97,BY,2022-06-28 23:07:59
228,Loukhi,66.0764,33.0381,42.55,77,2,5.7,RU,2022-06-28 23:07:59
229,Wanning,18.8003,110.3967,80.19,87,100,5.91,CN,2022-06-28 23:03:57
230,Coihaique,-45.5752,-72.0662,39.81,100,100,5.75,CL,2022-06-28 23:06:03
231,Svecha,58.2785,47.5164,42.75,80,29,6.76,RU,2022-06-28 23:08:00
232,Diapaga,12.0708,1.7889,80.08,57,48,8.46,BF,2022-06-28 23:08:00
233,Taoudenni,22.6783,-3.9836,102.24,8,14,13.11,ML,2022-06-28 23:08:01
234,Ponta Delgada,37.7333,-25.6667,71.51,100,75,8.05,PT,2022-06-28 23:08:01
235,Sliven,42.6858,26.3292,71.96,70,55,6.85,BG,2022-06-28 23:08:02
236,Cartagena,10.3997,-75.5144,82.02,78,40,8.05,CO,2022-06-28 23:04:53
237,Akhtanizovskaya,45.32,37.1,64.87,81,92,9.64,RU,2022-06-28 23:08:02
238,Abhar,36.1468,49.218,66.56,43,0,6.51,IR,2022-06-28 23:08:04
239,Alamosa,37.4695,-105.87,78.78,24,0,21.85,US,2022-06-28 23:08:04
240,Mahebourg,-20.4081,57.7,65.25,61,54,18.97,MU,2022-06-28 23:03:53
241,Geraldton,-28.7667,114.6,50.41,71,0,12.66,AU,2022-06-28 23:08:06
242,East London,-33.0153,27.9116,62.37,34,0,5.68,ZA,2022-06-28 23:06:30
243,Lerwick,60.1545,-1.1494,55.4,87,99,23.09,GB,2022-06-28 23:08:06
244,Marystown,47.1666,-55.1483,61.36,90,100,8.77,CA,2022-06-28 23:08:07
245,Nadym,65.5333,72.5167,39.52,70,57,24.61,RU,2022-06-28 23:08:07
246,Bendigo,-36.7667,144.2833,40.86,64,100,5.26,AU,2022-06-28 23:07:40
247,Ippy,6.2679,21.2247,67.48,94,94,2.84,CF,2022-06-28 23:08:08
248,Marsa Matruh,31.3525,27.2453,76.62,77,0,15.19,EG,2022-06-28 23:08:09
249,Gizo,-8.103,156.8419,81.77,73,85,5.41,SB,2022-06-28 23:08:10
250,Nova Russas,-4.7067,-40.5631,79.25,52,39,3.74,BR,2022-06-28 23:08:10
251,Lahij,13.1667,44.5833,84.96,53,100,5.5,YE,2022-06-28 23:08:11
252,Nyurba,63.2842,118.3319,53.8,69,99,7.58,RU,2022-06-28 23:08:11
253,Shingu,33.7333,135.9833,81.63,71,65,6.04,JP,2022-06-28 23:08:12
254,Butembo,0.15,29.2833,56.37,77,2,3.4,CD,2022-06-28 23:08:12
255,Esperance,-33.8667,121.9,55.74,76,94,9.62,AU,2022-06-28 23:08:13
256,Lavrentiya,65.5833,-171.0,47.48,83,94,15.79,RU,2022-06-28 23:08:13
257,La Ronge,55.1001,-105.2842,63.45,37,8,2.86,CA,2022-06-28 23:08:14
258,Hualmay,-11.0964,-77.6139,63.73,81,41,5.17,PE,2022-06-28 23:08:15
259,Pinhao,-25.6956,-51.6597,55.47,97,1,4.7,BR,2022-06-28 23:04:32
260,Port Blair,11.6667,92.75,82.04,78,91,7.83,IN,2022-06-28 23:08:15
261,Bolotnoye,55.6717,84.3981,51.85,87,68,6.26,RU,2022-06-28 23:08:16
262,Kamina,-8.7386,24.9906,56.23,60,63,5.97,CD,2022-06-28 23:08:17
263,Serik,36.9169,31.0989,79.75,56,34,4.7,TR,2022-06-28 23:08:17
264,Saint-Claude,46.5,5.8333,61.56,93,100,1.48,FR,2022-06-28 23:08:17
265,Evensk,61.95,159.2333,51.62,75,12,5.97,RU,2022-06-28 23:03:48
266,Hatillo,18.4863,-66.8254,84.11,83,76,11.01,PR,2022-06-28 23:08:18
267,Talnakh,69.4865,88.3972,52.21,36,100,3.74,RU,2022-06-28 23:08:20
268,Marathon,44.9,-89.7668,70.84,80,100,3.44,US,2022-06-28 23:07:34
269,Belmonte,-15.8631,-38.8828,69.13,72,7,6.91,BR,2022-06-28 23:08:20
270,Luchegorsk,46.4764,134.2569,62.85,89,100,3.15,RU,2022-06-28 23:08:21
271,Faanui,-16.4833,-151.75,79.81,75,17,19.98,PF,2022-06-28 23:08:21
272,Mitu,1.1983,-70.1733,74.3,93,56,1.36,CO,2022-06-28 23:08:22
273,Matay,28.419,30.7792,79.36,52,0,12.33,EG,2022-06-28 23:08:22
274,Qaanaaq,77.484,-69.3632,46.96,51,80,1.03,GL,2022-06-28 23:08:23
275,Ixtapa,20.7,-105.2,86.23,79,40,12.66,MX,2022-06-28 23:08:24
276,Padang,-0.9492,100.3543,75.27,85,52,3.6,ID,2022-06-28 23:08:24
277,Saint-Louis,16.3333,-15.0,90.54,32,22,13.18,SN,2022-06-28 23:08:25
278,San Cristobal,7.7669,-72.225,75.38,83,90,1.92,VE,2022-06-28 23:08:25
279,Gualeguay,-33.1416,-59.3097,50.83,66,61,6.96,AR,2022-06-28 23:03:50
280,Mogzon,51.7435,111.9606,71.06,49,3,2.37,RU,2022-06-28 23:08:27
281,Maurawan,26.4333,80.8833,82.44,58,86,7.18,IN,2022-06-28 23:08:27
282,Caravelas,-17.7125,-39.2481,67.03,67,54,3.62,BR,2022-06-28 23:08:27
283,Davila,18.4726,120.5763,82.78,78,85,2.04,PH,2022-06-28 23:08:28
284,Vallenar,-28.5708,-70.7581,64.31,22,0,2.8,CL,2022-06-28 23:08:28
285,Katherine,-14.4667,132.2667,61.12,88,40,8.05,AU,2022-06-28 23:08:29
286,Ostrovnoy,68.0531,39.5131,51.91,72,51,15.66,RU,2022-06-28 23:08:29
287,Nacogdoches,31.6002,-94.6335,94.64,28,0,5.75,US,2022-06-28 23:08:30
288,Tilichiki,60.4667,166.1,56.62,71,46,7.18,RU,2022-06-28 23:08:30
289,Bethel,41.3712,-73.414,78.03,53,20,5.75,US,2022-06-28 23:08:30
290,Batsfjord,70.6345,29.7185,69.58,68,41,14.97,NO,2022-06-28 23:08:31
291,Tsiroanomandidy,-18.7667,46.0333,50.31,69,1,3.85,MG,2022-06-28 23:08:31
292,Maluso,6.543,121.8753,81.57,79,100,8.37,PH,2022-06-28 23:08:32
293,Kattivakkam,13.2167,80.3167,84.29,88,100,10.25,IN,2022-06-28 23:08:32
294,Yining,29.0361,114.5636,76.08,95,50,2.08,CN,2022-06-28 23:08:33
295,Haysville,37.5645,-97.3523,88.34,37,0,12.66,US,2022-06-28 23:08:33
