City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Blythe,US,33.6103,-114.5964,109.04,20,75,19.57,broken clouds
144,Geraldton,AU,-28.7667,114.6,54.01,62,0,21.85,clear sky
145,Coruripe,BR,-10.1256,-36.1756,74.32,92,96,8.88,moderate rain
146,Teguldet,RU,57.3064,88.1667,56.3,70,1,7.45,clear sky
147,Murray Bridge,AU,-35.1167,139.2667,51.12,81,4,6.49,clear sky
148,Saint George,US,37.1041,-113.5841,102.79,14,0,17.27,clear sky
149,Aguimes,ES,27.9054,-15.4461,67.86,64,75,23.0,broken clouds
150,Marieville,CA,45.4334,-73.1658,73.0,62,81,5.14,broken clouds
151,Airai,TL,-8.9266,125.4092,60.94,93,94,2.08,overcast clouds
152,Bredasdorp,ZA,-34.5322,20.0403,56.19,45,0,5.68,clear sky
153,Beringovskiy,RU,63.05,179.3167,43.38,98,100,9.31,moderate rain
154,Milkovo,RU,54.7167,158.6167,73.56,47,96,5.53,overcast clouds
155,Hovd,MN,48.0056,91.6419,74.64,30,99,7.25,overcast clouds
156,Georgetown,MY,5.4112,100.3354,80.89,91,20,2.3,few clouds
157,Avarua,CK,-21.2078,-159.775,80.65,89,75,10.36,light rain
158,Ossora,RU,59.2353,163.0719,56.08,81,82,7.83,broken clouds
159,Dawlatabad,AF,36.4141,64.9053,83.32,20,0,5.19,clear sky
160,San Quintin,MX,30.4833,-115.95,72.68,68,1,13.82,clear sky
161,Caravelas,BR,-17.7125,-39.2481,70.74,89,5,4.52,clear sky
162,Nieuw Nickerie,SR,5.95,-56.9833,77.59,82,99,6.31,overcast clouds
163,Victoria,HK,22.2855,114.1577,81.25,88,100,11.99,overcast clouds
164,Inhambane,MZ,-23.865,35.3833,66.07,71,91,8.28,overcast clouds
165,Nova Olinda Do Norte,BR,-3.8881,-59.0942,79.23,73,99,2.46,overcast clouds
166,Labuhan,ID,-6.8844,112.2051,76.68,83,72,9.55,broken clouds
167,Valle Del Guamuez,CO,0.4525,-76.9192,78.22,94,58,1.61,broken clouds
168,San Patricio,US,28.017,-97.5169,91.54,60,53,13.85,broken clouds
169,Sistranda,NO,63.7256,8.834,57.16,84,0,4.21,clear sky
